function	AS102	AS103	AS105	AS106	AS107	AS111	AS112	AS113	AS114	AS115	AS117	AS120	AS122	AS123	AS124	AS125	AS127	AS128	AS129	AS130	AS131	AS132	AS133	AS134	AS136	AS137	AS139	AS140	AS141	AS142	AS149	AS150	AS152	AS153	AS154	AS155	AS156	AS157	AS160	AS162	AS163	AS164	AS167	AS169	AS172	AS173	AS174	AS175	AS177	AS178	AS179	AS180	AS181	AS182	AS183	AS185	AS186	AS187	AS188	AS189	AS190	AS191	AS193	AS195	AS196	AS204	AS205	AS206	AS207	AS208	AS212	AS214	AS216	AS221	AS223	AS226	AS227	AS228	AS229	AS230	AS232	AS233	AS235	AS236	AS237	AS239	AS240	AS242	AS244	AS245	AS246	AS247	AS248	AS249	AS66	AS67	AS68	AS69	AS71	AS72	AS73	AS74	AS75	AS76	AS77	AS78	AS79	AS80	AS81	AS82	AS83	AS84	AS85	AS86	AS87	AS88	AS90	AS91	AS92	AS93
RXN0-2461	3199.49	3215.6	1416.8	1103.25	2066.5	7539.33	35577.43	29207.8	2895.31	1533.4	2787.8	11917.42	9280.6	25993.57	9835.0	5692.0	19213.13	39243.0	5229.2	34364.0	9341.37	20366.77	16264.0	19057.79	22815.870000000006	19306.0	10241.3	34590.5	2577.37	3278.4700000000007	2077.5	12442.75	4597.66	4044.25	4658.95	6019.34	913.44	1480.45	15066.16	17825.0	4916.13	1708.9	5298.870000000001	4393.5	3974.86	7061.65	10732.0	4227.940000000001	6916.02	4527.21	2127.03	3783.71	4349.63	14712.94	7947.51	5507.83	8073.1	1812.0	4509.8	1999.34	2569.1	13923.66	8995.66	417.5	12575.8	7573.1	6275.5	7088.43	9513.64	13275.0	3968.56	4080.6	6253.74	2278.92	5312.66	3435.8	4798.8	5809.120000000001	2913.58	2978.390000000001	1839.18	2526.96	2466.7200000000007	2265.9700000000007	1033.47	561.29	866.5	5834.02	2004.27	2224.04	1632.95	3039.64	1689.01	1154.21	3596.0	1742.26	2343.6	4204.5	1585.16	4349.0	6202.0	775.75	3405.95	5216.0	2294.91	40647.0	4068.4	5037.83	3187.5	1641.9399999999996	1795.84	1405.3300000000004	1942.33	4792.7	5509.25	3513.0	4795.95	3440.9	652.0	3087.75
RXN0-2522	3199.49	3215.6	1416.8	1103.25	2066.5	7539.33	35577.43	29207.8	2895.31	1533.4	2787.8	11917.42	9280.6	25993.57	9835.0	5692.0	19213.13	39243.0	5229.2	34364.0	9341.37	20366.77	16264.0	19057.79	22815.870000000006	19306.0	10241.3	34590.5	2577.37	3278.4700000000007	2077.5	12442.75	4597.66	4044.25	4658.95	6019.34	913.44	1480.45	15066.16	17825.0	4916.13	1708.9	5298.870000000001	4393.5	3974.86	7061.65	10732.0	4227.940000000001	6916.02	4527.21	2127.03	3783.71	4349.63	14712.94	7947.51	5507.83	8073.1	1812.0	4509.8	1999.34	2569.1	13923.66	8995.66	417.5	12575.8	7573.1	6275.5	7088.43	9513.64	13275.0	3968.56	4080.6	6253.74	2278.92	5312.66	3435.8	4798.8	5809.120000000001	2913.58	2978.390000000001	1839.18	2526.96	2466.7200000000007	2265.9700000000007	1033.47	561.29	866.5	5834.02	2004.27	2224.04	1632.95	3039.64	1689.01	1154.21	3596.0	1742.26	2343.6	4204.5	1585.16	4349.0	6202.0	775.75	3405.95	5216.0	2294.91	40647.0	4068.4	5037.83	3187.5	1641.9399999999996	1795.84	1405.3300000000004	1942.33	4792.7	5509.25	3513.0	4795.95	3440.9	652.0	3087.75
RXN0-2584	605.97	486.53	542.4	325.05	340.5	923.0	5020.27	4101.4	619.6	581.37	946.02	1574.65	1193.0	4185.46	1203.4699999999998	824.0	4175.11	5495.0	879.77	4886.5	1133.34	2808.66	1538.0	3281.11	3579.42	4570.0	2547.33	6748.370000000001	620.25	1000.08	1002.0	2471.75	1007.16	916.58	1626.04	1637.67	442.02	484.53	1895.08	2517.2	757.06	404.65	917.4	626.5	501.43	957.0	1627.17	1005.49	1759.7	812.69	125.0	442.01	791.95	2499.17	2087.890000000001	1683.25	1281.11	1207.5	1513.18	783.1700000000002	946.71	2570.23	1469.83	624.75	2447.04	940.8	793.1	1014.27	1403.79	1839.6	1059.25	1740.66	894.4	633.33	950.33	1967.2	1148.5	1929.8	1397.52	1838.41	1243.82	1079.91	825.76	968.33	327.48	372.11	456.0	806.4499999999998	758.62	423.1	631.24	915.25	587.39	370.99	760.25	881.49	1218.75	1954.75	679.0799999999998	830.0	1528.0	299.75	2277.92	1145.0	673.25	5304.5	2336.98	1822.25	1398.75	786.47	446.25	541.3299999999998	647.5	1285.17	1296.5	1503.75	1233.37	1224.15	244.0	912.75
RXN0-2601	1655.61	1489.06	1996.8	1273.76	1352.84	1836.99	9279.54	7607.14	1973.54	1615.74	4766.7	4528.3	2529.0	9010.92	2629.95	2738.0	10005.21	12331.34	2706.88	11938.34	5627.68	13190.38	18122.65	7968.869999999999	6316.84	6626.0	3367.99	10697.91	4093.04	3464.53	4679.85	6952.5	5433.1399999999985	4993.15	7796.71	6419.01	2761.82	2690.94	5427.480000000001	7861.15	3550.57	2682.55	3175.8	1904.0	4301.51	2637.67	4564.84	2441.94	5329.4	3501.26	3663.0	4546.6399999999985	3452.9	10813.84	5058.120000000001	5882.66	4134.08	5955.5	4900.79	3761.01	4055.13	7697.3899999999985	3611.66	2979.5	7890.22	1992.1	1811.2	2370.54	3499.58	4187.21	3884.61	7062.76	2394.14	2214.81	2617.32	7555.4	6212.25	6580.7	4899.54	7879.07	4976.64	3472.57	2597.77	3885.66	2652.5600000000004	2005.89	2543.5	2961.9	4119.58	1850.74	3040.9700000000007	3663.39	2773.78	2523.1800000000007	2723.5	5678.65	2671.0	11453.75	5547.91	5580.0	11598.67	2438.16	7487.33	6552.34	2824.8100000000004	14223.5	5528.33	7137.66	4237.25	3501.94	3298.5	3208.66	3510.15	7676.35	9635.0	6608.18	7458.6799999999985	7223.46	1218.35	5184.5
RXN0-2605	629.06	255.63	218.2	433.65	121.0	185.33	2168.81	1514.2	686.31	1201.11	2096.87	706.39	490.5	2623.38	323.4	665.0	5399.12	2085.0	444.27	2434.0	842.01	2343.08	1587.33	2424.09	1749.0800000000004	2728.0	1379.99	3464.01	1163.37	853.76	1678.67	1973.25	1190.0	932.25	2514.11	1933.0	808.81	806.09	440.01	1224.7	667.77	594.95	1017.4	316.0	1242.59	383.15	876.01	896.13	2066.79	749.3100000000002	204.66	611.25	1038.4499999999996	1563.14	3470.39	2414.33	1962.58	2425.0	2357.29	1099.0	1400.63	2359.3	1224.0	1266.0	2794.62	238.65	397.3	443.47	847.59	1018.65	1501.93	2114.32	462.87	872.38	1021.32	3033.1	1707.81	3408.39	2511.12	2442.82	1165.02	1701.35	1118.97	1304.33	288.13	911.77	1034.0	462.79	1096.44	536.17	377.42	2414.9700000000007	964.39	382.79	1544.75	2604.08	1297.5	3070.5	1116.49	1982.0	1239.99	397.41	1065.17	941.34	896.41	6296.5	2773.27	2174.33	1571.25	1101.22	801.1700000000002	1151.67	759.3299999999998	1368.35	1400.75	1607.84	1194.27	1491.86	332.17	1321.59
RXN0-262	326.3400000000001	345.1	823.4	91.38	457.17	832.6600000000002	3977.27	3077.07	249.44	479.87	629.08	783.87	773.5	2760.46	1052.3	569.8000000000002	2495.87	4987.67	613.1700000000002	4484.17	873.3399999999998	1808.55	1154.33	1907.49	2634.83	2168.5	1099.33	4026.37	1407.62	1105.25	777.17	1381.75	964.83	869.75	1236.37	1166.67	359.9600000000001	392.93	2105.25	2443.75	509.78	652.55	486.0	507.5	558.9900000000001	789.5	1253.17	347.16	1141.92	393.41	256.83	388.62	593.0	1556.63	1375.17	1231.08	1198.61	825.5	897.6800000000002	683.6700000000002	807.21	2116.23	1320.83	163.75	2063.44	617.3	233.1	520.6	706.9	1416.4899999999998	303.0800000000001	441.39	494.07	306.5499999999999	216.66	733.8	470.28	1053.82	652.3	743.0799999999998	175.1	387.97	359.98	429.0	412.15	336.8300000000001	370.5	958.67	581.12	332.97	433.24	459.22	497.0	459.55	618.75	1673.13	1067.35	1080.75	576.58	1452.0	1196.0	700.08	2062.08	2289.17	739.41	4721.0	1896.58	2404.08	1554.75	687.0799999999998	693.75	907.33	991.66	2272.84	2737.0	1898.09	2315.53	2552.38	287.67	1626.75
RXN0-280	195.42	192.3	1523.8	192.79	502.01	18.0	5.800000000000002	64.81	331.27	514.8199999999998	1126.34	363.07	80.80000000000003	322.93	86.64	176.6	634.66	770.01	247.01	805.51	91.34	277.27	533.3299999999998	350.84	329.5	395.5	187.99	696.81	328.45	391.25	725.67	587.5	980.66	785.16	1067.08	757.0	344.7800000000001	363.16	280.91	399.0	421.09	225.9	66.0	61.0	160.82	175.33	329.17	117.98	191.42	221.36	42.33	105.24	356.0	224.06	286.0	261.75	164.25	348.0	68.75	261.0	332.0	196.0	79.16	65.75	284.4	85.35	30.6	76.8	89.60000000000002	93.55	101.4	502.72	188.6	271.4	480.33	456.3	207.73	507.52	296.6	415.33	158.7	129.22	115.83	157.0	47.25	103.84	97.0	39.0	97.15	43.3	33.8	60.8	119.0	55.0	59.75	533.13	1264.75	1091.5	450.5	209.0	1065.0	99.0	582.01	302.0	170.32999999999996	895.0	873.69	609.75	687.5	366.58	228.25	79.66	439.0	458.51	309.25	361.25	319.24	995.65	60.67	343.0
RXN0-2921	680.31	665.03	1038.4	371.38	642.1700000000002	930.66	5020.27	4107.07	825.77	778.87	1534.35	1911.65	1222.5	4217.46	1235.9699999999998	1009.0	4601.11	5708.67	998.44	5282.17	2154.34	5230.0	6175.33	3857.94	3193.92	3529.5	1897.33	5619.37	1817.42	1696.25	1389.67	2602.75	1678.16	1505.08	2220.54	2112.67	711.86	771.53	2442.58	3314.2	1562.2200000000007	1044.15	1392.4	812.5	1842.26	1098.67	1940.67	1144.16	2535.7	1441.69	1280.5	1664.01	1322.4499999999996	4444.17	2308.0600000000004	2077.58	1784.11	1706.5	1747.68	1221.67	1343.21	3067.23	1593.83	712.25	2965.54	962.8	889.1	1113.27	1624.79	1979.27	1217.58	1907.33	938.07	708.3299999999998	997.66	2289.2	2136.0	2408.8	1660.02	2310.41	1294.32	1140.91	880.26	1179.33	800.98	660.94	791.0	1173.45	1278.79	705.27	967.24	1331.92	854.39	755.99	1158.75	2496.49	1399.25	2877.25	1573.08	2321.0	4213.0	1001.08	3938.58	2910.17	1253.41	5863.5	3013.48	3423.58	2224.25	1376.97	1190.75	1228.3300000000004	1453.16	3264.34	3945.0	2910.59	3126.03	3238.48	535.6700000000002	2315.75
RXN0-299	268.59000000000003	206.7	915.0	114.46	579.34	21.33	12.4	49.34	445.27	579.9200000000002	1127.91	363.67	142.2	282.33	84.8	140.79999999999995	428.0	261.34000000000003	294.3400000000001	630.84	36.67	196.72	224.33	359.67	221.0	187.0	181.33	459.17	405.55	690.75	1040.67	309.0	951.5	886.0	917.12	842.0	265.83	510.48	264.25	451.75	249.59	309.85	62.0	102.0	166.99	220.16	375.67	111.29	172.92000000000004	540.28	22.33	82.12	382.0	246.93	110.0	434.25	314.75	658.5	371.25	346.5	541.5	416.0	298.8300000000001	176.25	319.1	63.25	120.6	80.4	308.2	135.25	471.25	1040.92	278.2	457.75	531.3299999999998	510.4	445.08	760.12	491.0	686.5799999999998	152.0	279.97	148.38	307.5	69.25	155.0	203.5	35.0	217.75	56.40000000000001	116.0	116.95	143.0	30.0	151.25	532.8	525.05	1550.25	401.75	60.0	60.0	69.0	381.17	286.0	84.33	93.0	231.61	335.25	456.25	311.75	410.75	111.33	212.67	337.67	317.75	221.25	273.12	597.35	5.67	411.0
RXN0-3	1073.47	983.33	971.6	573.1	1110.0	1728.35	8907.27	7299.6	912.2	387.05	1914.87	3220.58	2437.6	8114.53	2479.94	1982.2	8067.6399999999985	10531.0	2121.27	10227.0	2221.37	5531.68	2705.33	7321.44	6053.42	5216.0	2565.31	9370.89	2279.4	1946.43	3306.67	5287.5	4674.99	3724.16	4920.440000000001	4328.67	1356.87	1533.7	4356.99	5984.2	1380.77	592.05	1848.96	1223.0	1256.9	2282.8499999999995	3178.0	2126.6	3442.78	1700.69	235.67	1113.49	2466.57	4775.92	2854.390000000001	2802.0	3217.86	1770.0	2099.4300000000007	1305.67	1763.71	4996.83	2854.3	1014.0	4715.940000000001	1834.45	1500.2	2102.27	2841.81	3780.72	2327.13	4655.71	1956.87	1541.58	1666.33	3493.600000000001	1909.9	3708.98	2673.92	4489.71	2002.62	2128.04	1524.78	2405.83	939.33	1120.7800000000002	1352.0	1860.78	1718.14	972.77	932.39	1520.77	1315.39	906.44	1431.5	2512.29	2785.0	6358.0	2082.0	2457.0	2380.67	463.5	2344.69	1955.5	929.16	9868.0	2737.9300000000007	2603.0	2180.25	1091.33	834.67	891.3	610.63	2410.69	2294.5	1924.5	2151.1	3086.8	271.67	1242.0
