SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
70	2102	84	80
71	2102	259	239
72	2102	178	162
73	2102	32	29
74	2102	796	728
75	2102	643	581
76	2102	704	638
77	2102	595	537
78	2102	983	859
79	2102	496	440
80	2102	466	413
81	2102	72	64
82	2102	146	129
83	2102	53	49
84	2102	21	20
85	2102	94	78
86	2102	341	309
87	2102	272	245
88	2102	1164	1059
89	2102	60	56
90	2102	843	769
91	2102	160	126
92	2102	243	221
93	2102	313	294
94	2102	173	161
95	2102	265	233
96	2102	327	298
0	2103	604567	561624
1	2103	7	6
2	2103	115	106
3	2103	17	16
4	2103	21	20
5	2103	49	46
6	2103	10	9
7	2103	2	2
8	2103	4	4
9	2103	569	534
10	2103	864	788
11	2103	634	579
12	2103	349	307
13	2103	85	75
14	2103	329	285
15	2103	895	794
16	2103	466	419
17	2103	64	55
18	2103	340	313
19	2103	383	357
20	2103	150	135
21	2103	228	202
22	2103	242	205
23	2103	277	242
24	2103	155	136
25	2103	72	64
26	2103	211	188
27	2103	185	155
28	2103	168	154
29	2103	279	249
30	2103	269	236
31	2103	459	414
32	2103	274	239
33	2103	57	53
34	2103	332	297
35	2103	345	313
36	2103	127	111
37	2103	522	464
38	2103	193	178
39	2103	337	295
40	2103	52	46
41	2103	245	224
42	2103	466	426
43	2103	950	848
44	2103	240	220
45	2103	92	88
46	2103	98	90
47	2103	41	33
48	2103	58	55
49	2103	136	116
50	2103	45459	42619
51	2103	233	208
52	2103	214	192
53	2103	449	422
54	2103	56	45
55	2103	177	162
56	2103	121	107
57	2103	60	51
58	2103	52	48
59	2103	34	29
60	2103	92	84
61	2103	183	167
62	2103	62	55
63	2103	117	100
64	2103	91	79
65	2103	48	43
66	2103	257	234
67	2103	140	133
68	2103	98	89
69	2103	134	120
70	2103	95	87
71	2103	300	271
72	2103	170	159
73	2103	26	21
74	2103	788	710
75	2103	644	591
76	2103	715	651
77	2103	562	508
78	2103	939	796
79	2103	470	415
80	2103	471	418
81	2103	74	66
82	2103	112	98
83	2103	56	48
84	2103	20	20
85	2103	83	64
86	2103	346	321
87	2103	246	218
88	2103	1191	1067
89	2103	69	60
90	2103	839	765
91	2103	143	116
92	2103	236	212
93	2103	328	300
94	2103	178	162
95	2103	266	238
96	2103	310	284
0	2104	607489	563246
1	2104	17	17
2	2104	107	92
3	2104	26	23
4	2104	36	32
5	2104	33	30
6	2104	3	2
8	2104	4	3
9	2104	588	538
10	2104	908	817
11	2104	626	588
12	2104	382	341
13	2104	71	61
14	2104	311	275
15	2104	886	753
16	2104	419	362
17	2104	71	65
18	2104	310	287
19	2104	387	355
20	2104	136	119
21	2104	206	182
22	2104	249	225
23	2104	273	247
24	2104	162	145
25	2104	74	69
26	2104	196	171
27	2104	202	174
28	2104	167	149
29	2104	212	186
30	2104	247	219
31	2104	458	397
32	2104	285	254
33	2104	38	30
34	2104	323	298
35	2104	379	339
36	2104	117	111
37	2104	514	463
38	2104	208	195
39	2104	329	295
40	2104	57	49
41	2104	217	191
42	2104	463	418
43	2104	964	840
44	2104	275	244
45	2104	108	99
46	2104	103	95
47	2104	43	37
48	2104	67	64
49	2104	177	155
50	2104	45360	42434
51	2104	256	232
52	2104	218	205
53	2104	422	364
54	2104	52	41
55	2104	143	126
56	2104	102	91
57	2104	45	38
58	2104	49	45
59	2104	27	19
60	2104	95	87
61	2104	193	176
62	2104	71	63
63	2104	106	100
64	2104	101	89
65	2104	35	33
66	2104	269	247
67	2104	137	116
68	2104	126	106
69	2104	133	119
70	2104	90	83
71	2104	283	255
72	2104	161	140
73	2104	36	27
74	2104	820	717
75	2104	612	550
76	2104	728	650
77	2104	555	500
78	2104	910	802
79	2104	474	426
80	2104	446	408
81	2104	67	55
82	2104	100	84
83	2104	55	44
84	2104	18	18
85	2104	76	65
86	2104	329	302
87	2104	227	195
88	2104	1229	1092
89	2104	76	65
90	2104	828	755
91	2104	169	142
92	2104	230	202
93	2104	319	294
94	2104	185	169
95	2104	232	199
96	2104	311	275
0	2105	611386	565102
1	2105	8	7
2	2105	110	99
3	2105	20	16
4	2105	29	26
5	2105	48	44
6	2105	9	6
7	2105	5	5
8	2105	5	4
9	2105	577	516
10	2105	922	837
11	2105	623	570
12	2105	313	271
13	2105	59	53
14	2105	319	282
15	2105	924	814
16	2105	441	389
17	2105	64	55
18	2105	331	308
19	2105	381	348
20	2105	123	99
21	2105	199	179
22	2105	284	248
23	2105	254	228
24	2105	157	141
25	2105	65	60
26	2105	197	165
27	2105	175	147
28	2105	183	154
29	2105	234	214
30	2105	327	288
31	2105	442	391
32	2105	290	251
33	2105	47	41
34	2105	348	323
35	2105	335	300
36	2105	117	106
37	2105	512	445
38	2105	167	145
39	2105	334	305
40	2105	53	47
41	2105	208	175
42	2105	457	408
43	2105	1019	892
44	2105	281	252
45	2105	81	75
46	2105	111	99
47	2105	37	31
48	2105	74	71
49	2105	172	156
50	2105	45821	42750
51	2105	232	211
52	2105	211	188
53	2105	426	385
54	2105	59	45
55	2105	177	160
56	2105	107	92
57	2105	57	47
58	2105	75	68
59	2105	30	25
60	2105	97	91
61	2105	193	173
62	2105	87	77
63	2105	116	105
64	2105	120	98
65	2105	50	43
66	2105	247	231
67	2105	142	131
68	2105	103	92
69	2105	142	126
70	2105	87	78
71	2105	299	276
72	2105	185	164
73	2105	34	28
74	2105	849	766
75	2105	616	550
76	2105	712	649
77	2105	557	511
78	2105	917	791
79	2105	506	450
80	2105	453	405
81	2105	73	69
82	2105	107	92
83	2105	40	32
84	2105	21	20
85	2105	74	67
86	2105	338	305
87	2105	241	213
88	2105	1130	1009
89	2105	62	54
90	2105	897	809
91	2105	150	129
92	2105	244	222
93	2105	332	309
94	2105	168	148
95	2105	266	228
96	2105	303	275
0	2106	613869	567260
1	2106	8	8
2	2106	120	109
3	2106	15	15
4	2106	31	30
5	2106	60	55
6	2106	6	6
7	2106	3	3
8	2106	1	1
9	2106	546	497
10	2106	823	748
11	2106	642	577
12	2106	347	301
13	2106	59	53
14	2106	292	263
15	2106	833	735
16	2106	397	356
17	2106	70	62
18	2106	353	328
19	2106	405	367
20	2106	125	113
21	2106	178	160
22	2106	226	194
23	2106	256	233
24	2106	156	145
25	2106	72	65
26	2106	216	193
27	2106	158	133
28	2106	197	173
29	2106	240	215
30	2106	291	264
31	2106	435	371
32	2106	273	243
33	2106	43	40
34	2106	321	286
35	2106	341	306
36	2106	103	92
37	2106	495	421
38	2106	207	180
39	2106	304	274
40	2106	48	42
41	2106	251	226
42	2106	405	362
43	2106	924	813
44	2106	250	227
45	2106	101	97
46	2106	100	87
47	2106	30	28
48	2106	79	72
49	2106	154	139
50	2106	45825	42756
51	2106	221	190
52	2106	194	170
53	2106	421	372
54	2106	56	39
55	2106	160	145
56	2106	108	95
57	2106	51	47
58	2106	60	56
59	2106	27	20
60	2106	83	79
61	2106	186	162
62	2106	79	72
63	2106	91	82
64	2106	95	85
65	2106	40	37
66	2106	246	228
67	2106	153	134
68	2106	105	95
69	2106	140	128
70	2106	98	87
71	2106	266	249
72	2106	149	134
73	2106	35	29
74	2106	786	702
75	2106	622	561
76	2106	666	603
77	2106	491	438
78	2106	896	776
79	2106	480	433
80	2106	424	376
81	2106	65	57
82	2106	106	99
83	2106	46	38
84	2106	10	9
85	2106	72	65
86	2106	279	242
87	2106	212	189
88	2106	1156	1024
89	2106	80	70
90	2106	862	796
91	2106	160	126
92	2106	209	184
93	2106	312	289
94	2106	189	168
95	2106	236	194
96	2106	320	295
0	2107	618199	572529
1	2107	10	10
2	2107	91	83
3	2107	24	22
4	2107	34	34
5	2107	49	43
6	2107	7	7
7	2107	2	2
8	2107	7	5
9	2107	574	530
10	2107	837	743
11	2107	579	528
12	2107	339	297
13	2107	71	69
14	2107	287	261
15	2107	839	737
16	2107	398	364
17	2107	75	66
18	2107	313	283
19	2107	420	382
20	2107	113	100
21	2107	176	162
22	2107	227	203
23	2107	235	213
24	2107	154	136
25	2107	67	61
26	2107	212	190
27	2107	184	157
28	2107	199	171
29	2107	241	219
30	2107	266	239
31	2107	424	378
32	2107	268	236
33	2107	56	50
34	2107	340	305
35	2107	342	310
36	2107	109	92
37	2107	508	460
38	2107	174	149
39	2107	316	279
40	2107	43	39
41	2107	235	207
42	2107	411	373
43	2107	904	803
44	2107	239	209
45	2107	83	74
46	2107	119	105
47	2107	40	33
48	2107	78	75
49	2107	158	138
50	2107	46219	43222
51	2107	230	207
52	2107	212	191
53	2107	404	363
54	2107	45	37
55	2107	177	167
56	2107	109	105
57	2107	47	42
58	2107	59	51
59	2107	33	28
60	2107	77	73
61	2107	189	168
62	2107	66	56
63	2107	92	82
64	2107	104	95
65	2107	33	29
66	2107	265	237
67	2107	151	132
68	2107	103	93
69	2107	118	104
70	2107	112	106
71	2107	281	254
72	2107	154	140
73	2107	32	29
74	2107	749	657
75	2107	577	507
76	2107	696	605
77	2107	550	496
78	2107	835	726
79	2107	452	409
80	2107	463	417
81	2107	80	66
82	2107	115	106
83	2107	42	33
84	2107	19	18
85	2107	84	73
86	2107	279	246
87	2107	215	186
88	2107	1112	992
89	2107	67	60
90	2107	878	788
91	2107	154	129
92	2107	227	201
93	2107	291	269
94	2107	169	157
95	2107	264	230
96	2107	316	290
0	2108	621647	573783
1	2108	6	6
2	2108	105	99
3	2108	15	12
4	2108	27	26
5	2108	47	42
6	2108	9	7
7	2108	2	2
8	2108	6	4
9	2108	559	512
10	2108	828	757
11	2108	641	580
12	2108	329	293
13	2108	69	63
14	2108	272	253
15	2108	781	699
16	2108	392	346
17	2108	67	58
18	2108	284	260
19	2108	414	382
20	2108	126	112
21	2108	198	180
22	2108	230	203
23	2108	245	225
24	2108	129	114
25	2108	54	49
26	2108	181	152
27	2108	166	142
28	2108	147	128
29	2108	213	191
30	2108	261	242
31	2108	455	402
32	2108	301	260
33	2108	44	40
34	2108	320	283
35	2108	349	308
36	2108	108	93
37	2108	480	424
38	2108	187	177
39	2108	278	242
40	2108	49	46
41	2108	223	202
42	2108	425	378
43	2108	1000	884
44	2108	235	209
45	2108	80	70
46	2108	112	103
47	2108	37	34
48	2108	65	55
49	2108	160	140
50	2108	46445	43271
51	2108	235	207
52	2108	196	180
53	2108	436	396
54	2108	46	41
55	2108	161	146
56	2108	104	91
57	2108	43	38
58	2108	48	45
59	2108	28	24
60	2108	62	60
61	2108	164	145
62	2108	83	77
63	2108	91	80
64	2108	101	92
65	2108	39	35
66	2108	220	200
67	2108	131	106
68	2108	119	105
69	2108	140	120
70	2108	89	79
71	2108	270	245
72	2108	147	131
73	2108	40	39
74	2108	751	669
75	2108	577	525
76	2108	706	639
77	2108	530	490
78	2108	773	685
79	2108	480	424
80	2108	412	368
81	2108	66	60
82	2108	120	105
83	2108	48	43
84	2108	12	11
85	2108	89	83
86	2108	316	281
87	2108	218	194
88	2108	1125	994
89	2108	63	52
90	2108	825	749
91	2108	162	131
92	2108	253	232
93	2108	284	267
94	2108	198	182
95	2108	212	182
96	2108	300	274
0	2109	623309	574477
1	2109	3	3
2	2109	145	131
3	2109	27	25
4	2109	20	20
5	2109	31	28
6	2109	10	9
7	2109	2	2
8	2109	10	8
9	2109	571	527
10	2109	866	797
11	2109	603	543
12	2109	325	285
13	2109	69	63
14	2109	290	264
15	2109	750	646
16	2109	369	332
17	2109	65	58
18	2109	337	310
19	2109	427	392
20	2109	109	95
21	2109	181	166
22	2109	211	177
23	2109	239	208
24	2109	135	116
25	2109	57	52
26	2109	197	174
27	2109	137	116
28	2109	153	132
29	2109	207	192
30	2109	238	209
31	2109	408	345
32	2109	259	234
33	2109	31	29
34	2109	307	276
35	2109	358	319
36	2109	113	101
37	2109	524	467
38	2109	168	155
39	2109	318	286
40	2109	39	33
41	2109	237	213
42	2109	432	398
43	2109	937	820
44	2109	253	220
45	2109	87	79
46	2109	89	78
47	2109	34	27
48	2109	61	58
49	2109	133	121
50	2109	46862	43675
51	2109	238	207
52	2109	181	155
53	2109	413	373
54	2109	46	35
55	2109	162	154
56	2109	103	97
57	2109	49	42
58	2109	49	44
59	2109	31	26
60	2109	70	64
61	2109	160	141
62	2109	62	56
63	2109	117	99
64	2109	98	94
65	2109	34	24
66	2109	268	256
67	2109	130	118
68	2109	98	86
69	2109	139	118
70	2109	82	79
71	2109	285	261
72	2109	131	119
73	2109	32	28
74	2109	726	649
75	2109	578	500
76	2109	681	609
77	2109	524	477
78	2109	840	733
79	2109	458	415
80	2109	420	365
81	2109	58	48
82	2109	112	99
83	2109	33	29
84	2109	17	15
85	2109	72	65
86	2109	272	240
87	2109	217	197
88	2109	1042	931
89	2109	43	39
90	2109	842	770
91	2109	166	127
92	2109	233	214
93	2109	288	264
94	2109	178	162
95	2109	204	174
96	2109	291	258
0	2110	625605	577298
1	2110	6	6
2	2110	112	101
3	2110	22	21
4	2110	26	26
5	2110	46	39
6	2110	7	6
7	2110	1	1
8	2110	3	3
9	2110	517	475
10	2110	824	757
11	2110	614	558
12	2110	361	321
13	2110	54	51
14	2110	290	255
15	2110	689	623
16	2110	399	354
17	2110	45	43
18	2110	288	265
19	2110	390	352
20	2110	114	102
21	2110	186	164
22	2110	195	168
23	2110	248	229
24	2110	145	129
25	2110	65	63
26	2110	189	157
27	2110	139	118
28	2110	170	145
29	2110	216	192
30	2110	263	234
31	2110	441	397
32	2110	257	241
33	2110	39	36
34	2110	334	304
35	2110	312	268
36	2110	86	76
37	2110	471	427
38	2110	155	145
39	2110	308	281
40	2110	54	51
41	2110	208	184
42	2110	434	381
43	2110	919	810
44	2110	224	192
45	2110	84	79
46	2110	99	88
47	2110	44	37
48	2110	62	56
49	2110	165	153
50	2110	47201	43883
51	2110	247	218
52	2110	201	186
53	2110	414	363
54	2110	38	27
55	2110	151	140
56	2110	105	91
57	2110	36	32
58	2110	57	47
59	2110	30	23
60	2110	79	74
61	2110	157	148
62	2110	82	74
63	2110	86	76
64	2110	76	67
65	2110	31	28
66	2110	280	260
67	2110	118	104
68	2110	99	90
69	2110	135	122
70	2110	93	84
71	2110	250	222
72	2110	147	134
73	2110	36	33
74	2110	789	699
75	2110	544	480
76	2110	675	609
77	2110	560	516
78	2110	770	668
79	2110	438	378
80	2110	398	349
81	2110	59	55
82	2110	106	91
83	2110	43	39
84	2110	15	14
85	2110	73	63
86	2110	259	220
87	2110	220	190
88	2110	1112	997
89	2110	62	51
90	2110	813	748
91	2110	150	124
92	2110	218	193
93	2110	308	283
94	2110	150	137
95	2110	252	218
96	2110	283	254
0	2111	628948	578249
1	2111	8	7
2	2111	121	109
3	2111	16	13
4	2111	30	28
5	2111	41	36
6	2111	11	11
7	2111	4	4
8	2111	9	8
9	2111	546	490
10	2111	818	745
11	2111	642	577
12	2111	367	325
13	2111	69	60
14	2111	270	237
15	2111	721	625
16	2111	365	311
17	2111	61	53
18	2111	347	313
19	2111	382	358
20	2111	81	70
21	2111	162	139
22	2111	206	177
23	2111	239	212
24	2111	140	120
25	2111	58	52
26	2111	189	161
27	2111	149	124
28	2111	152	125
29	2111	200	183
30	2111	246	215
31	2111	385	339
32	2111	262	224
33	2111	40	36
34	2111	296	263
35	2111	292	257
36	2111	98	88
37	2111	525	461
38	2111	157	142
39	2111	291	253
40	2111	43	38
41	2111	226	205
42	2111	399	352
43	2111	896	793
44	2111	266	231
45	2111	84	74
46	2111	85	75
47	2111	41	38
48	2111	47	44
49	2111	129	119
50	2111	47369	43953
51	2111	212	182
52	2111	156	139
53	2111	402	352
54	2111	46	38
55	2111	164	150
56	2111	105	87
57	2111	38	34
58	2111	47	44
59	2111	27	20
60	2111	73	67
61	2111	147	133
62	2111	74	63
63	2111	96	86
64	2111	96	84
65	2111	25	22
66	2111	253	230
67	2111	145	138
68	2111	89	83
69	2111	116	100
70	2111	100	89
71	2111	289	260
72	2111	157	139
73	2111	32	26
74	2111	718	632
75	2111	542	474
76	2111	738	678
77	2111	508	457
78	2111	737	647
79	2111	470	416
80	2111	385	348
81	2111	69	56
82	2111	110	89
83	2111	30	24
84	2111	17	16
85	2111	84	76
86	2111	270	235
87	2111	240	218
88	2111	1061	942
89	2111	61	52
90	2111	802	718
91	2111	120	103
92	2111	203	187
93	2111	278	260
94	2111	179	163
95	2111	215	177
96	2111	266	233
0	2112	631435	579073
1	2112	9	8
2	2112	95	87
3	2112	22	19
4	2112	27	27
5	2112	45	38
6	2112	6	5
7	2112	2	2
8	2112	9	6
9	2112	562	519
10	2112	853	789
11	2112	570	507
12	2112	345	300
13	2112	67	61
14	2112	248	219
15	2112	663	576
16	2112	344	291
17	2112	56	48
18	2112	334	300
19	2112	405	368
20	2112	114	101
21	2112	163	149
22	2112	169	148
23	2112	231	206
24	2112	128	117
25	2112	80	70
26	2112	161	134
27	2112	188	137
28	2112	141	125
29	2112	183	161
30	2112	271	243
31	2112	400	357
32	2112	245	206
33	2112	42	39
34	2112	288	255
35	2112	296	261
36	2112	93	81
37	2112	494	435
38	2112	150	142
39	2112	255	227
40	2112	50	45
41	2112	220	202
42	2112	392	356
43	2112	925	815
44	2112	226	205
45	2112	91	81
46	2112	90	78
47	2112	18	16
48	2112	49	40
49	2112	164	146
50	2112	47547	43868
51	2112	194	171
52	2112	173	151
53	2112	409	364
54	2112	32	21
55	2112	175	162
56	2112	95	80
57	2112	62	57
58	2112	56	51
59	2112	20	15
60	2112	69	62
61	2112	156	135
62	2112	68	61
63	2112	95	89
64	2112	91	83
65	2112	33	30
66	2112	228	208
67	2112	135	123
68	2112	88	82
69	2112	128	116
70	2112	96	86
71	2112	269	241
72	2112	126	109
73	2112	24	24
74	2112	753	676
75	2112	536	471
76	2112	700	638
77	2112	536	489
78	2112	714	636
79	2112	431	385
80	2112	408	349
81	2112	68	65
82	2112	102	83
83	2112	35	28
84	2112	11	11
85	2112	83	77
86	2112	287	252
87	2112	214	178
88	2112	958	854
89	2112	79	72
90	2112	796	704
91	2112	151	115
92	2112	192	179
93	2112	292	267
94	2112	157	142
95	2112	232	203
96	2112	271	242
0	2113	635602	582691
1	2113	6	6
2	2113	115	107
3	2113	22	21
4	2113	30	28
5	2113	42	37
6	2113	6	5
7	2113	3	3
8	2113	7	5
9	2113	519	477
10	2113	922	844
11	2113	632	579
12	2113	355	313
13	2113	56	51
14	2113	260	222
15	2113	730	651
16	2113	339	300
17	2113	76	66
18	2113	330	316
19	2113	399	370
20	2113	107	95
21	2113	185	165
22	2113	206	176
23	2113	222	203
24	2113	117	108
25	2113	59	52
26	2113	187	167
27	2113	161	135
28	2113	139	119
29	2113	217	196
30	2113	228	200
31	2113	405	355
32	2113	233	204
33	2113	32	29
34	2113	282	259
35	2113	289	254
36	2113	92	83
37	2113	484	429
38	2113	155	142
39	2113	319	285
40	2113	31	25
41	2113	204	173
42	2113	429	384
43	2113	879	779
44	2113	235	217
45	2113	84	77
46	2113	99	90
47	2113	37	31
48	2113	50	48
49	2113	178	161
50	2113	48357	44574
51	2113	186	161
52	2113	165	151
53	2113	375	327
54	2113	36	30
55	2113	139	132
56	2113	104	91
57	2113	36	30
58	2113	50	49
59	2113	32	23
60	2113	52	50
61	2113	127	112
62	2113	68	58
63	2113	99	93
64	2113	95	85
65	2113	34	29
66	2113	249	229
67	2113	124	114
68	2113	93	87
69	2113	138	126
70	2113	69	64
71	2113	285	261
72	2113	146	130
73	2113	17	16
74	2113	716	629
75	2113	558	480
76	2113	711	648
77	2113	589	539
78	2113	735	641
79	2113	469	420
80	2113	384	336
81	2113	58	49
82	2113	107	95
83	2113	25	20
84	2113	16	16
85	2113	76	71
86	2113	242	216
87	2113	230	200
88	2113	1032	927
89	2113	65	53
90	2113	814	713
91	2113	165	141
92	2113	194	169
93	2113	290	271
94	2113	156	139
95	2113	199	174
96	2113	278	244
0	2114	635751	579683
1	2114	10	10
2	2114	107	100
3	2114	26	25
4	2114	32	32
5	2114	52	46
6	2114	11	9
7	2114	8	8
8	2114	7	5
9	2114	546	497
10	2114	845	777
11	2114	613	564
12	2114	347	310
13	2114	56	49
14	2114	265	233
15	2114	649	581
16	2114	313	262
17	2114	57	51
18	2114	319	296
19	2114	386	344
20	2114	111	100
21	2114	160	143
22	2114	218	189
23	2114	259	236
24	2114	123	117
25	2114	57	53
26	2114	182	154
27	2114	137	117
28	2114	159	141
29	2114	201	178
30	2114	224	195
31	2114	385	335
32	2114	234	211
33	2114	30	25
34	2114	275	240
35	2114	301	272
36	2114	97	87
37	2114	448	399
38	2114	166	146
39	2114	290	256
40	2114	38	35
41	2114	221	197
42	2114	432	391
43	2114	917	815
44	2114	277	245
45	2114	82	70
46	2114	104	96
47	2114	19	15
48	2114	40	39
49	2114	152	134
50	2114	48039	44183
51	2114	206	186
52	2114	198	171
53	2114	410	371
54	2114	38	29
55	2114	192	177
56	2114	95	83
57	2114	57	51
58	2114	36	33
59	2114	30	24
60	2114	76	71
61	2114	161	138
62	2114	71	63
63	2114	78	70
64	2114	95	84
65	2114	26	19
66	2114	238	214
67	2114	114	101
68	2114	80	75
69	2114	121	107
70	2114	86	82
71	2114	254	215
72	2114	164	146
73	2114	26	26
74	2114	768	698
75	2114	541	462
76	2114	655	614
77	2114	523	484
78	2114	711	635
79	2114	462	409
80	2114	402	348
81	2114	48	44
82	2114	108	88
83	2114	39	38
84	2114	12	10
85	2114	60	54
86	2114	252	214
87	2114	218	190
88	2114	1041	933
89	2114	63	53
90	2114	719	642
91	2114	158	117
92	2114	188	161
93	2114	285	263
94	2114	188	172
95	2114	245	202
96	2114	285	243
